"Trường","Tên viết tắt","Mã tuyển sinh","Năm thành lập","Website chính thức","Website tuyển sinh"
"Trường Đại học An ninh nhân dân","ANS","T47/T04","1963","https://dhannd.bocongan.gov.vn","https://dhannd.edu.vn"
"Trường Đại học Bách khoa (ĐHQG TP.HCM)","HCMUT","QSB","1957","https://hcmut.edu.vn","https://mybk.hcmut.edu.vn/tuyensinh"
"Trường Đại học Cảnh sát nhân dân","CCS","T48/T05","1976","https://dhcsnd.edu.vn","https://dhcsnd.edu.vn"
"Trường Đại học Công nghiệp TP.HCM","IUH","IUH","1957","https://iuh.edu.vn","https://tuyensinh.iuh.edu.vn"
"Trường Đại học Công nghệ Thông tin (ĐHQG TP.HCM)","UIT","QSC","2006","https://uit.edu.vn","https://tuyensinh.uit.edu.vn"
"Trường Đại học Công Thương TP.HCM","HUIT","DCT","1982","https://huit.edu.vn","https://ts.huit.edu.vn"
"Trường Đại học Giao thông Vận tải TP.HCM","UTH","GTS","2001","https://ut.edu.vn","https://tuyensinh.ut.edu.vn"
"Trường Đại học Giao thông Vận tải - Phân hiệu TP.HCM","UTC2","GSA","1990","https://utc2.edu.vn","https://tuyensinh.utc2.edu.vn"
"Trường Đại học Khoa học Tự nhiên (ĐHQG TP.HCM)","HCMUS","QST","1947","https://hcmus.edu.vn","https://tuyensinh.hcmus.edu.vn"
"Trường Đại học Khoa học Xã hội & Nhân văn (ĐHQG TP.HCM)","HCMUSSH","QSX","1955","https://hcmussh.edu.vn","https://tuyensinh.hcmussh.edu.vn"
"Trường Đại học Kinh tế – Luật (ĐHQG TP.HCM)","HCMUEL","QSK","2000","https://uel.edu.vn","https://tuyensinh.uel.edu.vn"
"Trường Đại học Lao động – Xã hội (Cơ sở 2)","ULSA2","DLS","1999","https://ulas2.edu.vn","https://tuyensinh.ulas2.edu.vn"
"Trường Đại học Kiến trúc TP.HCM","UAH","KTS","1926","https://uah.edu.vn","https://tuyensinh.uah.edu.vn"
"Trường Đại học Luật TP.HCM","ULAW","LPS","1987","https://hcmulaw.edu.vn","https://ts.hcmulaw.edu.vn"
"Trường Đại học Mở TP.HCM","OU","MBS","1990","https://ou.edu.vn","https://tuyensinh.ou.edu.vn"
"Trường Đại học Mỹ thuật TP.HCM","MT","MTS","1954","https://hcmufa.edu.vn","https://ts.hcmufa.edu.vn"
"Trường Đại học Ngoại thương (Cơ sở 2)","FTU2","NTS","1993","https://cs2.ftu.edu.vn","https://tuyensinh.ftu.edu.vn"
"Trường Đại học Ngân hàng TP.HCM","HUB","NHS","1976","https://buh.edu.vn","https://tuyensinh.buh.edu.vn"
"Trường Đại học Nông Lâm TP.HCM","NLU","NLS","1955","https://hcmuaf.edu.vn","https://tuyensinh.hcmuaf.edu.vn"
"Trường Đại học Quốc tế (ĐHQG TP.HCM)","HCMIU","QSQ","2003","https://hcmiu.edu.vn","https://tuyensinh.hcmiu.edu.vn"
"Trường Đại học Sài Gòn","SGU","SGD","1972","https://sgu.edu.vn","https://tuyensinh.sgu.edu.vn"
"Trường Đại học Sân khấu – Điện ảnh TP.HCM","SKDAHCM","DSD","1998","https://skdahcm.edu.vn","https://tuyensinh.skdahcm.edu.vn"
"Trường Đại học Sư phạm Kỹ thuật TP.HCM","HCMUTE","SPK","1962","https://hcmute.edu.vn","https://tuyensinh.hcmute.edu.vn"
"Trường Đại học Sư phạm Thể dục Thể thao","UPES","STS","1976","https://upes.edu.vn","https://tuyensinh.upes.edu.vn"
"Trường Đại học Sư phạm TP.HCM","HCMUE","SPS","1957","https://hcmue.edu.vn","https://tuyensinh.hcmue.edu.vn"
"Trường Đại học Thể dục Thể thao TP. HCM","USH","TDS","1976","https://ush.edu.vn","https://tuyensinh.ush.edu.vn"
"Phân hiệu Trường Đại học Thủy lợi","TLUS","TLS","1976","https://tlus.edu.vn","https://tuyensinh.tlus.edu.vn"
"Trường Đại học Trần Đại Nghĩa","TDNU","VPH, ZPH","1975","https://tdn.edu.vn","https://tuyensinh.tdn.edu.vn"
"Trường Đại học Tài chính – Marketing","UFM","DMS","1976","https://ufm.edu.vn","https://tuyensinh.ufm.edu.vn"
"Trường Đại học Tài nguyên và Môi trường TP.HCM","HCMUNRE","DTM","1976","https://hcmunre.edu.vn","https://tuyensinh.hcmunre.edu.vn"
"Trường Đại học Tôn Đức Thắng","TDTU","DTT","1997","https://tdtu.edu.vn","https://admission.tdtu.edu.vn"
"Trường Đại học Văn hóa TP.HCM","HUC","VHS","1976","https://hcmuc.edu.vn","https://ts.hcmuc.edu.vn"
"Trường Đại học Việt - Đức","VGU","VGU","2008","https://vgu.edu.vn","https://apply.vgu.edu.vn"
"Trường Đại học Y Dược TP.HCM","UMP","YDS","1988","https://ump.edu.vn","https://tuyensinh.ump.edu.vn"
"Trường Đại học Y khoa Phạm Ngọc Thạch","PNT","TYS","1988","https://pnt.edu.vn","https://ts.pnt.edu.vn"
"Trường Đại học Lao động - Xã hội (CSII)","ULSA2","DLS","1976","https://ulas2.edu.vn","https://tuyensinh.ulas2.edu.vn"
"Trường Đại học Sức khỏe (ĐHQG TP.HCM)","QSY","QSY","2024","https://qsy.vnuhcm.edu.vn","https://tuyensinh.qsy.vnuhcm.edu.vn"
