"STT","Tên Trường Đại học","Tên viết tắt","Mã tuyển sinh","Thành lập","Website chính thức","Website tuyển sinh"
"1","Trường Đại học Hoa Sen","HSU","HSU","1991","https://hoasen.edu.vn","https://xettuyen.hoasen.edu.vn"
"2","Trường Đại học Ngoại ngữ – Tin học TP.HCM","HUFLIT","DNT","1992","https://huflit.edu.vn","https://tuyensinh.huflit.edu.vn"
"3","Trường Đại học Hùng Vương TP.HCM","HVUH","DHV","1993","https://dhv.edu.vn","https://tuyensinh.dhv.edu.vn"
"4","Trường Đại học Văn Lang","VLU","DVL","1995","https://vlu.edu.vn","https://tuyensinh.vlu.edu.vn"
"5","Trường Đại học Công nghệ TP.HCM","HUTECH","DKC","1995","https://hutech.edu.vn","https://tuyensinh.hutech.edu.vn"
"6","Trường Đại học Quốc tế Hồng Bàng","HIU","HIU","1997","https://hiu.vn","https://tuyensinh.hiu.vn"
"7","Trường Đại học Văn Hiến","VHU","DVH","1997","https://vhu.edu.vn","https://tuyensinh.vhu.edu.vn"
"8","Trường Đại học Công nghệ Sài Gòn","STU","DSG","1997","https://stu.edu.vn","https://tuyensinh.stu.edu.vn"
"9","Trường Đại học Nguyễn Tất Thành","NTTU","NTT","1999","https://ntt.edu.vn","https://tuyensinh.ntt.edu.vn"
"10","Trường Đại học FPT","FPT","FPT","2006","https://fpt.edu.vn","https://tuyensinh.fpt.edu.vn"
"11","Trường Đại học Gia Định","GDU","GDU","2007","https://giadinh.edu.vn","https://ts.giadinh.edu.vn"
"12","Trường Đại học Kinh tế – Tài chính","UEF","UEF","2007","https://uef.edu.vn","https://tuyensinh.uef.edu.vn"
"13","Trường Đại học Quốc tế Sài Gòn","SIU","SIU","2007","https://siu.edu.vn","https://tuyensinh.siu.edu.vn"
"14","Trường Đại học Công nghệ và Quản lý Hữu Nghị TP.HCM","UMT","UMT","2021","https://umt.edu.vn","https://tuyensinh.umt.edu.vn"
"15","Trường Kinh doanh Sài Gòn","SBS","SBS","2022","https://sbs.edu.vn","https://apply.sbs.edu.vn"
